source_file,sheet_name,detected_header_row_zero_based,detected_columns
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,3,البيان | FY 2021 Budget | FY 2021 Actual | FY 2022 Budget | Items
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Revenues,13,الإيرادات الفعلية للربع الثاني من السنة المالية 1443/ 1444هـ (2022م) | Column_2 | Column_3 | Column_4 | Actual revenues in Q2 of FY 2021 Vs. Q2 of FY 2022 | Column_6
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Expenditures,14,المصروفات الفعلية للربع الثاني من السنة المالية 1443/ 1444هـ (2022م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q2 of FY 2021 Vs. Q2 of FY 2022 | Column_6 | Column_7
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,3,البيان | الإجمالي | Q2 2022 | Q1 2022 | Item
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,GOV.BUD,3,البيان | FY 2021 Budget | FY 2021 Actual | FY 2022 Budget | Items
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Revenues,3,الإيرادات* | الإجمالي | Q4 | Q3 | Q2 | Q1 | Revenues*
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,3,المصروفات* | Total | Q4 | Q3 | Q2 | Q1 | Expenditures*
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Surplus - (Deficit),3,البيان | الإجمالي | Q4 2022 | Q3 2022 | Q2 2022 | Q1 2022 | Item
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Revenues,13,الإيرادات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual revenues in Q1 of FY 2022 Vs. Q1 of FY 2023
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,14,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023 | Column_6 | Column_7
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Surplus - (Deficit),3,البيان فائض/(عجز) الفترة | Q1 2023 -2910.375343265536 | Item Surplus/(Deficit)
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Revenues,13,الإيرادات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual revenues in Q2 of FY 2022 Vs. Q2 of FY 2023 | Column_6
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Expenditures,14,المصروفات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q2 of FY 2022 Vs. Q2 of FY 2023 | Column_6 | Column_7
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Financing,3,البيان | الإجمالي | Q2 2023 | Q1 2023 | Item
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Summary,6,أداء الميزانية العامة للدولة للربع الثالث من السنة المالية الحالية 1444/ 1445هـ (2023م) النتائج الفعلية لأداء الإيرادات غير النفطية من السنة المالية 1445/1444هـ (2023م) | Column_2 | Column_3 | Quarterly Budget Performance Report of FY 2023 Q3 (1444/1445 H) | Column_5 | Column_6 | Actual Performance of Non-oil Revenues of FY 2023
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Revenues,3,الإيرادات* | الإجمالي | Q3 | Q2 | Q1 | Revenues*
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Expenditures,3,المصروفات* | Total | Q3 | Q2 | Q1 | Expenditures* | Column_7
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Financing,3,البيان | الإجمالي | Q3 2023 | Q2 2023 | Q1 2023 | Item
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | FY 2023 Actual | Items
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Summary,6,أداء الميزانية العامة للدولة للربع الرابع من السنة المالية الحالية 1444/ 1445هـ (2023م) النتائج الفعلية لأداء الإيرادات غير النفطية من السنة المالية 1445/1444هـ (2023م) | Column_2 | Column_3 | Quarterly Budget Performance Report of FY 2023 Q4 (1444/1445 H) | Column_5 | Column_6 | Actual Performance of Non-oil Revenues of FY 2023
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Revenues,3,الإيرادات* | الإجمالي | Q4 | Q3 | Q2 | Q1 | Revenues*
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Expenditures,3,المصروفات* | Total | Q4 | Q3 | Q2 | Q1 | Expenditures*
